rodent_uid,trap_uid,clean_names,genus,sub_family,family,sex,age_group,weight,head_body,cut_tail,hind_foot,ear,length_skull,testes,seminal_vesicles,vagina_perforate,teats_visible,pairs_teats,number_embryos,notes,all_samples,source_data,village,visit,trap_night,grid_number,trap_number
5_SEI_022,seilama_5_3_1_5,praomys_rostratus,praomys,murinae,muridae,male,adult,52,127,no,25,18,31,external,yes,NA,NA,NA,NA,NA,yes,ODK,seilama,5,3,1,5
5_SEI_021,seilama_5_2_7_340,rattus_rattus,rattus,murinae,muridae,male,adult,18,85,no,26,18,29,external,yes,NA,NA,NA,NA,NA,yes,ODK,seilama,5,2,7,340
5_SEI_020,seilama_5_2_5_236,malacomys_edwardsi,malacomys,murinae,muridae,female,adult,29,105,no,33,24,36,NA,NA,yes,yes,2,0,NA,yes,ODK,seilama,5,2,5,236
5_SEI_019,seilama_5_2_4_188,mus_setulosus,mus,murinae,muridae,female,adult,9,68,no,15,9,18,NA,NA,yes,yes,4,0,NA,no,ODK,seilama,5,2,4,188
5_SEI_018,seilama_5_2_3_113,lophuromys_sikapusi,lophuromys,murinae,muridae,male,adult,64,135,no,23,17,34,external,yes,NA,NA,NA,NA,NA,yes,ODK,seilama,5,2,3,113
5_SEI_017,seilama_5_2_1_42,lophuromys_sikapusi,lophuromys,murinae,muridae,male,adult,66,130,no,22,16,35,external,yes,NA,NA,NA,NA,NA,yes,ODK,seilama,5,2,1,42
5_SEI_016,seilama_5_1_7_279,praomys_rostratus,praomys,murinae,muridae,male,adult,50,122,no,25,17,34,external,yes,NA,NA,NA,NA,NA,no,ODK,seilama,5,1,7,279
5_SEI_015,seilama_5_1_4_155,lophuromys_sikapusi,lophuromys,murinae,muridae,male,adult,75,143,yes,22,15,32,external,yes,NA,NA,NA,NA,NA,no,ODK,seilama,5,1,4,155
5_SEI_014,seilama_5_1_4_148,lophuromys_sikapusi,lophuromys,murinae,muridae,male,adult,60,140,yes,25,15,30,external,yes,NA,NA,NA,NA,NA,yes,ODK,seilama,5,1,4,148
5_SEI_013,seilama_5_1_1_40,praomys_rostratus,praomys,murinae,muridae,male,adult,51,124,no,27,19,33,external,yes,NA,NA,NA,NA,NA,yes,ODK,seilama,5,1,1,40
5_SEI_012,seilama_5_1_1_39,praomys_rostratus,praomys,murinae,muridae,female,adult,32,110,no,20,17,24,NA,NA,yes,yes,3,0,NA,yes,ODK,seilama,5,1,1,39
5_SEI_011,seilama_5_1_1_38,crocidura_olivieri,crocidura,crocidurinae,soricidae,male,adult,37,132,no,19,9,30,internal,yes,NA,NA,NA,NA,NA,yes,ODK,seilama,5,1,1,38
5_SEI_010,seilama_5_1_1_34,praomys_rostratus,praomys,murinae,muridae,female,adult,39,109,no,22,18,29,NA,NA,yes,yes,3,2,NA,yes,ODK,seilama,5,1,1,34
5_SEI_009,seilama_5_1_1_25,praomys_rostratus,praomys,murinae,muridae,male,adult,37,112,no,24,18,33,external,yes,NA,NA,NA,NA,NA,yes,ODK,seilama,5,1,1,25
5_SEI_008,seilama_5_1_1_24,praomys_rostratus,praomys,murinae,muridae,male,adult,46,128,no,23,19,35,external,yes,NA,NA,NA,NA,NA,yes,ODK,seilama,5,1,1,24
5_SEI_007,seilama_5_1_1_19,praomys_rostratus,praomys,murinae,muridae,female,adult,65,121,no,24,19,35,NA,NA,yes,yes,3,4,NA,yes,ODK,seilama,5,1,1,19
5_SEI_006,seilama_5_1_1_18,lophuromys_sikapusi,lophuromys,murinae,muridae,male,adult,69,149,no,22,15,32,external,yes,NA,NA,NA,NA,NA,yes,ODK,seilama,5,1,1,18
5_SEI_005,seilama_5_1_1_17,crocidura_olivieri,crocidura,crocidurinae,soricidae,male,adult,43,138,no,18,8,40,internal,yes,NA,NA,NA,NA,NA,yes,ODK,seilama,5,1,1,17
5_SEI_004,seilama_5_1_1_15,lophuromys_sikapusi,lophuromys,murinae,muridae,male,adult,64,130,no,22,15,32,external,yes,NA,NA,NA,NA,NA,yes,ODK,seilama,5,1,1,15
5_SEI_003,seilama_5_1_1_11,praomys_rostratus,praomys,murinae,muridae,male,adult,42,125,no,25,17,29,external,yes,NA,NA,NA,NA,NA,yes,ODK,seilama,5,1,1,11
5_SEI_002,seilama_5_1_1_7,crocidura_olivieri,crocidura,crocidurinae,soricidae,female,adult,23,120,no,20,7,30,NA,NA,yes,yes,2,0,NA,yes,ODK,seilama,5,1,1,7
5_SEI_001,seilama_5_1_1_5,lophuromys_sikapusi,lophuromys,murinae,muridae,male,adult,74,134,yes,22,17,35,external,yes,NA,NA,NA,NA,NA,yes,ODK,seilama,5,1,1,5
5_LAL_015,lalehun_5_4_7_260,mastomys_natalensis,mastomys,murinae,muridae,male,adult,28,93,no,23,17,31,external,yes,NA,NA,NA,NA,NA,yes,ODK,lalehun,5,4,7,260
5_LAL_014,lalehun_5_4_2_96,lophuromys_sikapusi,lophuromys,murinae,muridae,male,adult,71,129,no,27,16,38,external,yes,NA,NA,NA,NA,NA,yes,ODK,lalehun,5,4,2,96
5_LAL_013,lalehun_5_4_2_82,lophuromys_sikapusi,lophuromys,murinae,muridae,male,adult,78,134,no,23,17,36,external,yes,NA,NA,NA,NA,NA,yes,ODK,lalehun,5,4,2,82
5_LAL_012,lalehun_5_4_1_17,lophuromys_sikapusi,lophuromys,murinae,muridae,male,adult,43,108,no,23,16,32,internal,yes,NA,NA,NA,NA,NA,yes,ODK,lalehun,5,4,1,17
